Di Mattia's Restaurant, 1 N Main St, Allentown, NJ 08501, 609-662-6287
TK's Pizzeria, 27 Liftbridge Ln E, Fairport, NY 14450, 585-366-8530
J & L's Pizza Korner, 347 Hogan Rd, Fairport, NY 14450, 585-366-8710
Polo Pizza, 32-13 Beach Channel Dr, Far Rockaway, NY 11691, 215-874-3872
Mario's, 18-07 Mott Ave, Far Rockaway, NY 11691, 210-361-4156
J- M Pizza, 2-63 Beach 20th St, Far Rockaway, NY 11691, 717-276-8843
Piazzetta of East Farmingdale, 1031 Fulton St, Farmingdale, NY 11735, 631-364-0377
Gino's of Farmingdale, 333 Main St, Farmingdale, NY 11735, 516-531-6059
Talluci's Pizzeria, 1249 Melville Rd, Farmingdale, NY 11735, 631-438-8186
La Slice Pizzeria, 107 Northwest Dr, Farmingdale, NY 11735, 516-927-8277
Juno's Pizza Pasta & Algo Mas, 533 Fulton St, Farmingdale, NY 11735, 516-271-1988
Deli Zone, 290 NY-109, Farmingdale, NY 11735, 631-956-2974
Frankie's Eastside Pizza, 313 Main St, Farmingdale, NY 11735, 516-340-0315
Bocconcini Deli & Pizza, 1965 New Hwy, Farmingdale, NY 11735, 631-449-7193
Creations Pizza, 193 Main St, Farmingdale, NY 11735, 516-252-3399
3 Brothers Pizza Cafe, 75 Merritts Rd, Farmingdale, NY 11735, 516-531-6385
Prosecco Italian Restaurant, 1550 NY-332, Farmington, NY 14425, 585-294-0302
Jason's New York Pizzeria, 6081 NY-96, Farmington, NY 14425, 585-366-8598
Dario's Famous Pizza, 1560 NY-332, Farmington, NY 14425, 585-366-8651
Goomba Johnny's Pizzeria, 374 Mooney Pond Rd, Farmingville, NY 11738, 631-223-7525
Primo Pizza, 2312 North Ocean Ave, Farmingville, NY 11738, 631-721-4708
Pauly's Pizza & Pasta, 1100 Portion Rd, Farmingville, NY 11738, 631-994-1798
Sapore Fino Pizzeria, 400 Horseblock Rd, Farmingville, NY 11738, 631-496-4048
La Roma Pizza, 401 Horseblock Rd, Farmingville, NY 11738, 631-496-1493
Florina's Woodburning Pizza, 225 Route 82, Fishkill, NY 12524, 845-593-4132
Antonella's Pizzeria & Restaurant, 738 US 9, Fishkill, NY 12524, 845-669-6258
Sal's Pizza, 973 Main St, Fishkill, NY 12524, 845-593-1162
Pizza & Stuff, 50 Elm St, Fishkill, NY 12524, 845-977-4780
Pizza Phil, 1545 Route 52 , Fishkill, NY 12524, 845-764-9710
Trattoria Locanda, 1105 Main St, Fishkill, NY 12524, 845-275-0392
Singas Famous Pizza, 260-21 Hillside Ave, Floral Park, NY 11004, 347-861-6136
Ciros Pizza, 298 Jericho Tpke, Floral Park, NY 11001, 516-253-2364
Village Pizzeria, 169 Tulip Ave, Floral Park, NY 11001, 516-727-7343
Original V.I. Pizza, 55 Covert Ave, Floral Park, NY 11001, 516-265-7876
Pizza Express, 1 Meadow Rd, Florida, NY 10921, 845-651-3393
Franico's Pizzeria Florida, 8 S Main St, Florida, NY 10921, 845-241-8766
Rookie's, 27 N Main St, Florida, NY 10921, 845-764-8695
Gino's Pizza, 25-23 Parsons Blvd, Flushing, NY 11354, 347-537-4836
Daro's Pizza & Chicken, 44-25 Kissena Blvd, Flushing, NY 11355, 718-301-5138
Gino's of Kissena, 65-01 Kissena Blvd, Flushing, NY 11367, 718-701-8581
Vincenzo's Pizzeria & Restaurant, 168-19 Union Tpke, Flushing, NY 11366, 717-546-9905
Bravo Pizza, 6926 Main St, Flushing, NY 11367, 347-699-3713
Genesis Pizza, 14909 Union Tpke, Flushing, NY 11367, 347-836-6693
Regina's Pizzeria, 176-49 Union Tpke, Flushing, NY 11366, 707-723-6176
Matese Pizza, 2615 Francis Lewis Blvd, Flushing, NY 11358, 646-392-7356
Graziella Pizza, 33-25 Francis Lewis Blvd, Flushing, NY 11358, 929-244-4258
Bella Donna Pizzeria, 6091 54th St, Flushing, NY 11378, 347-472-0201
D'Angelo's Pizza, 63-27 108th Street, Forest Hills, NY 11375, 718-301-5134
D'Angelo's Pizza & Pasta, 118-07 Queens Blvd, Forest Hills, NY 11375, 646-392-8438
Due Fratelli Pizza, 101-16 Queens Blvd, Forest Hills, NY 11375, 718-997-7111
Portofino Ristorante, 10932 Ascan Ave, Forest Hills, NY 11375, 347-952-7268
Pizza & Pasta City, 6444 108th St, Forest Hills, NY 11375, 718-896-6667
Singas Famous Pizza, 6353 108th St, Forest Hills, NY 11375, 718-557-9825
Rosalia's Pizzeria, 103-15 Queens Blvd, Forest Hills, NY 11375, 718-557-9276
Pizza Palace Cafe, 63-60 108th St, Forest Hills, NY 11375, 347-952-7434
Lillian Pizzeria, 9601 69th Ave, Forest Hills, NY 11375, 717-537-9242
Tuscan Hills, 110-60 Queens Blvd, Forest Hills, NY 11375, 347-846-0148
Naples Street Food, 970 Hempstead Turnpike, Franklin Square, NY 11010, 516-506-0416
Prince Umberto's, 721 Franklin Ave, Franklin Square, NY 11010, 516-302-4459
Cinelli's Pizza, 1195 Hempstead Tpke, Franklin Square, NY 11010, 516-830-4044
Little Enrico's Pizzeria, 191 Franklin Ave, Franklin Square, NY 11010, 516-219-9996
IL Cantone Cafe, 763 Hempstead Turnpike A, Franklin Square, NY 11010, 516-309-4712
Carmela's Pizzeria & Restaurant, 910 Hempstead Turnpike, Franklin Square, NY 11010, 516-265-7698
Olivetto Pizzeria & Ristorante, 190 New Hyde Park Rd, Franklin Square, NY 11010, 516-460-9891
Lia's Pizzeria, 710 Dogwood Ave, Franklin Square, NY 11010, 516-219-9875
Carmela's Ristorante, 912 Hempstead Turnpike, Franklin Square, NY 11010, 516-219-9112
John Anthony's, 365 Atlantic Ave, Freeport, NY 11520, 516-360-1023
Montana Brothers, 385 S Main St, Freeport, NY 11520, 516-379-3053
Atlantic Pizzeria & Restaurant, 171 Atlantic Ave, Freeport, NY 11520, 516-350-5744
La Mia Pizza, 42 S Main St, Freeport, NY 11520, 516-272-4530
Raimo's Pizza & Restaurant, 187 W Merrick Rd, Freeport, NY 11520, 516-514-3620
Napoli Pizza & Restaurant, 164-02 69th Ave, Fresh Meadows, NY 11365, 347-632-9634
Mike's Pizza, 61-07 Utopia Pkwy, Fresh Meadows, NY 11365, 718-831-6463
Brother's Pizza, 18504 Horace Harding Expy, Fresh Meadows, NY 11365, 219-402-1559
Fresh Meadows Pizzeria & Restaurant, 195-09 69th Ave, Fresh Meadows, NY 11365, 917-905-7709
Angelo & Al's Pizzeria, 6822 Fresh Meadow Ln, Fresh Meadows, NY 11365, 718-736-2257
Acquista Trattoria, 17801 Union Tpke, Fresh Meadows, NY 11366, 717-276-8762
Red Baron Pizza, 110 Rochester St, Fulton, NY 13069, 315-883-2889
The Pies Guys, 59 W 1st St N, Fulton, NY 13069, 315-587-5220
Mama Gina's, 101 S 2nd St, Fulton, NY 13069, 315-587-5255
Pizza Supreme, 678 Stewart Ave, Garden City, NY 11530, 516-962-2251
Garden City Pizza, 670 Franklin Ave, Garden City, NY 11530, 516-531-6503
Grimaldi's Pizzeria, 980 Franklin Ave, Garden City, NY 11530, 516-844-0358
Avellino's Pizza & Catering, 279 Nassau Blvd, Garden City, NY 11530, 516-830-4282
Calogero's, 919 Franklin Ave, Garden City, NY 11530, 516-636-2284
Spuntino Wine Bar & Italian, 1002 Old Country Rd, Garden City, NY 11530, 516-309-4833
Mr Crispy's Brick Oven Pizza, 120 W Ramapo Rd, Garnerville, NY 10923, 845-245-6468
Original Italian Pizza & Restaurant, 1 Main St, Garnerville, NY 10923, 845-827-1645
Calabria Pizza, 36 W Ramapo Rd, Garnerville, NY 10923, 845-859-7049
Beni's Trattoria, 81 N Central Hwy, Garnerville, NY 10923, 845-241-8826
Garrison Pizza Cafe, 1135 Rd 9D, Garrison, NY 10524, 845-579-3645
Garrison Gourmet Eatery & Market, 405 Sprout Brook Rd, Garrison, NY 10524, 845-999-6185
Sprout Brook Deli, 405 Sprout Brook Rd, Garrison, NY 10524, 914-221-7718
GioVanna's Pizza & Pasta, 4153 Lakeville Rd, Geneseo, NY 14454, 585-252-5287
Mama Mia's, 87 Main St, Geneseo, NY 14454, 585-302-2928
Pizza Paul's, 110 Main St, Geneseo, NY 14454, 585-312-3428
John's Pizza & Subs, 680 Campbell Blvd, Getzville, NY 14068, 716-221-3956
Amherst Pizza & Ale House, 55 Crosspoint Pkw, Getzville, NY 14068, 716-219-5536
Besta Pizza, 2343 Millersport Hwy, Getzville, NY 14068, 716-271-8191
Downtown Cafe, 4 School St, Glen Cove, NY 11542, 516-874-6334
Vito's Ristorante & Pizzeria, 91 Forest Ave, Glen Cove, NY 11542, 516-279-5725
Andros Grill Pizza & Gyro, 61 Glen St, Glen Cove, NY 11542, 516-629-0426
Delicious Restaurant & Pizzeria, 60 Landing Road, Glen Cove, NY 11542, 516-531-6480
Phil's Pizza & Restaurant of Glen Cove, 21 Cedar Swamp Rd, Glen Cove, NY 11542, 516-260-5944
La Pala, 246 Glen St, Glen Cove, NY 11542, 516-226-7023
La Famiglia Ristorante & Pizzeria, 5 School St, Glen Cove, NY 11542, 516-210-4858
Amalfi, 197 Forest Ave, Glen Cove, NY 11542, 516-217-0120
Villa Meci Pizzeria, 214 Glen Cove Ave, Glen Cove, NY 11542, 516-344-8796
Dominik Pizza, 65 1/2 Glen St, Glen Cove, NY 11542, 516-784-4299
Pisa Pizzeria, 6568 Myrtle Ave, Glendale, NY 11385, 347-848-1263
Leone's Pizzeria, 8402 Cooper Ave, Glendale, NY 11385, 717-276-8319
Home Deli & Catering, 7135 73Rd Pl, Glendale, NY 11385, 717-276-8419
Glendale Pizza, 6827 Myrtle Ave, Glendale, NY 11385, 717-942-8761
Pizza Classica, 8989 Union Tpke, Glendale, NY 11385, 718-412-8146
Pizza Jerks, 175 Broad St, Glens Falls, NY 12801, 518-490-4595
Talk of the Town Restaurant, 74 Hudson Ave, Glens Falls, NY 12801, 518-240-9419
Empire Pizza, 2 Hudson Ave, Glens Falls, NY 12801, 518-490-4254
House Of Pizza, 219 5th Ave, Gloversville, NY 12078, 518-500-4782
Plaza's Italian Bistro, 130 N Pine St, Gloversville, NY 12078, 518-500-4164
The Pizza Joint, 151 N Main St, Gloversville, NY 12078, 518-500-4121
Al's Pizzeria, 201 N Main St, Gloversville, NY 12078, 518-500-4205
Mendettas Pizzeria Catering & More, 132 E Fulton St, Gloversville, NY 12078, 518-500-4526
Sorrento's Pizzeria, 15 Main St, Goshen, NY 10924, 845-414-3841
Village Pizzeria, 100 Greenwich Ave, Goshen, NY 10924, 845-678-3798
Craft 47, 47 W Main St, Goshen, NY 10924, 845-213-1348
Roccoroma, 99 Railroad Ave, Goshen, NY 10924, 845-261-1176
Amore's Pizzeria & Restaurant, 182 W Main St, Goshen, NY 10924, 845-671-5011
Rocky's Island Pizza, 2600 Grand Island Blvd, Grand Island, NY 14072, 716-215-2395
Pizza Amore The Wood Fire Way, 2024 Grand Island Blvd, Grand Island, NY 14072, 716-261-2621
Say Cheese Pizza Company & The Comic Book Cafe, 1771 Love Rd #2, Grand Island, NY 14072, 716-221-8320
Brick Oven Pizzeria & Pub, 2457 Grand Island Blvd, Grand Island, NY 14072, 716-271-8116
Gino’s Pizza of Great Neck, 60 Middle Neck Rd, Great Neck, NY 11021, 516-487-1122
La Bottega Mangia Bene Ristorante, 624 Middle Neck Rd, Great Neck, NY 11023, 516-482-3335
La Rotonda Ristorante, 8 Bond St, Great Neck, NY 11021, 516-289-9243
Toskana Pizzeria Restaurant, 348 Great Neck Rd, Great Neck, NY 11021, 347-836-6761
Elite Pizza & Sushi Restaurant, 94 Middle Neck Rd, Great Neck, NY 11021, 516-226-7362
Napoli Pizza & Restaurant, 116 Northern Blvd, Great Neck, NY 11021, 516-260-4041
Mario's Pizzeria, 43 Great Neck Rd, Great Neck, NY 11021, 516-344-8673
Roya Kosher Pizza, 770 Middle Neck Rd #3, Great Neck, NY 11024, 516-243-8416
Broadway Pizza & Catering, 60 Broadway Greenlawn, Greenlawn, NY 11740, 631-449-7627
Jonny D's Pizza, 91 Broadway St, Greenlawn, NY 11740, 631-239-3803
Spinelli Pizza, 763 Pulaski Rd, Greenlawn, NY 11740, 631-881-4600
1943 Pizza Bar, 308 Main St, Greenport, NY 11944, 631-919-4109
La Capricciosa Pizza, 135 3rd St #24, Greenport, NY 11944, 631-407-3517
Emilio's, 400 Main St, Greenport, NY 11944, 631-709-1048
Planet Pizza, 126 Windermere Ave, Greenwood Lake, NY 10925, 845-547-0546
Doc's Pizza & Steak, 657 Jersey Ave, Greenwood Lake, NY 10925, 845-579-3656
Ashley's Pizzeria & Cafe, 75 Windermere Ave, Greenwood Lake, NY 10925, 845-241-8783
Pizza Gram Plus, 2514 Western Ave, Guilderland, NY 12084, 518-375-1614
Marisa's Place, 5 New Karner Rd #3, Guilderland, NY 12084, 518-501-1508
Ruggiero's Pizza & Deli, 3905 Carman Rd , Guilderland, NY 12303, 518-500-4038
Blasdell Pizza & Subs, 4837 Southwestern Blvd, Hamburg, NY 14075, 716-271-0487
Brunner's Eatery, 7171 Boston State Rd, Hamburg, NY 14075, 716-209-3559
Nino's Pizzeria, 315 Buffalo St, Hamburg, NY 14075, 716-209-3832
Koz's Pizza Alley, 507 Sunset Dr, Hamburg, NY 14075, 716-272-1836
Bella Pizza, 4909 Lake Shore Rd, Hamburg, NY 14075, 716-217-6917
Major Tom's Drop Zone, 5842 Camp Rd, Hamburg, NY 14075, 716-272-1034
Edies Pizza, 380 Buffalo St, Hamburg, NY 14075, 716-272-1794
Now Pizzeria, 88 Main St, Hamburg, NY 14075, 716-261-2751
John & Mary's, 40 Buffalo St, Hamburg, NY 14075, 716-221-3988
L'Isola D'Oro Italian Restaurant, 4690 Camp Rd, Hamburg, NY 14075, 716-271-4768
Francesca's Pizza & Restaurant, 9 Ponquogue Ave, Hampton Bays, NY 11946, 631-614-3366
Edgewater, 295 E Montauk Hwy, Hampton Bays, NY 11946, 631-723-2323
The Pizza Place (Formerly John's Pizza), 125 W Montauk Hwy, Hampton Bays, NY 11946, 631-594-8796
Uncle Joe's Pizza & Restaurant, 252 W Montauk Hwy, Hampton Bays, NY 11946, 631-284-8011
Harrison's Pizza, 248 Halstead Ave, Harrison, NY 10528, 914-315-7990
Sofia's Pizzeria, 212 Harrison Ave, Harrison, NY 10528, 914-218-6962
Pizza 2000, 337 Halstead Ave, Harrison, NY 10528, 914-239-3108
Ny Pizza Station, 370 Halstead Ave, Harrison, NY 10528, 914-826-8922
Porta Napoli Restaurant Pizzeria And Bar, 261 Halstead Ave, Harrison, NY 10528, 914-996-4817
Trattoria Vivolo, 301 Halstead Ave, Harrison, NY 10528, 914-825-4104
Arthur Avenue Pizza & Pasta, 1 S Central Ave, Hartsdale, NY 10530, 914-368-6798
Amendola's Pizza, 203 E Hartsdale Ave, Hartsdale, NY 10530, 914-290-5724
Villaggio Italiano Pizza, 389 N Central Ave, Hartsdale, NY 10530, 914-825-4873
Avellino Pizza & Pasta, 15 E Hartsdale Ave, Hartsdale, NY 10530, 914-290-5284
John's of Arthur Ave, 1 S Central Ave, Hartsdale, NY 10530, 914-825-4860
Frankie and Fanucci's Wood Oven Pizzeria, 202 E Hartsdale Ave 204, Hartsdale, NY 10530, 914-313-3279
Mama Angelina's, 1251 Veterans Memorial Hwy, Hauppauge, NY 11788, 631-360-1463
Mamas Pizza Hauppauge, 586 Veterans Memorial Hwy, Hauppauge, NY 11788, 631-360-4343
Leonardo's Pizza Cafe, 656 Motor Pkwy, Hauppauge, NY 11788, 631-759-8651
Patrizia's of Hauppauge, 358 Vanderbilt Motor Pkwy, Hauppauge, NY 11788, 631-239-3788
PizzaRev, 694 Motor Pkwy, Hauppauge, NY 11788, 631-759-8150
Rigatoni's, 160 Adams Ave, Hauppauge, NY 11788, 631-994-1788
Vito & Michael's Famous Pizza, 15 Broadway, Haverstraw, NY 10927, 845-262-2405
Pantano's Deli & Pizza, 9 Westside Ave, Haverstraw, NY 10927, 845-429-8944
Mariella's Restaurant & Bar, 41 New Main St, Haverstraw, NY 10927, 845-237-0809
Campus Pizza & Gyro, 742 Fulton Ave, Hempstead, NY 11550, 516-219-9084
West End Deli & Pizza, 136 Front St, Hempstead, NY 11550, 516-806-5528
Eternal Deli, 115 Main St, Hempstead, NY 11550, 516-217-9128
Tony's Pizzeria, 376 Fulton Ave, Hempstead, NY 11550, 516-636-2107
Pizzatini, 185 Henry St, Hempstead, NY 11550, 516-636-2351
Pontillo's Pizza, 2761 E Henrietta Rd, Henrietta, NY 14467, 585-367-4673
Fire Crust, 4843 W Henrietta Rd, Henrietta, NY 14467, 585-229-6941
Perri's Pizzeria, 3105 E Henrietta Rd, Henrietta, NY 14467, 585-252-5124
Carney's Corners, 232 N Washington St, Herkimer, NY 13350, 315-801-2197
Salvatore's, 650 W German St, Herkimer, NY 13350, 315-381-1366
Yetty's Pizza, 109 Mohawk St, Herkimer, NY 13350, 315-381-1369
Tony's Pizzeria, 435 Mohawk St, Herkimer, NY 13350, 315-860-0364
Tony D's Pizzeria, 1751 Peninsula Blvd, Hewlett, NY 11557, 516-219-9684
Da Nicola Restaurant, 1203 Broadway, Hewlett, NY 11557, 516-279-2599
The Pizza Place, 1344 Broadway, Hewlett, NY 11557, 516-219-9912
Marinara, 1308 Peninsula Blvd, Hewlett, NY 11557, 516-219-1051
Mama Venezia Pizza, 420 Newbridge Rd, Hicksville, NY 11801, 516-336-4017
Calda Pizzeria & Restaurant, 191 W Old Country Rd, Hicksville, NY 11801, 516-595-0671
Monaco's Pizzeria & Restaurant, 414 Jerusalem Ave, Hicksville, NY 11801, 516-806-6972
Hicksville Famous Pizza, 285 S Broadway, Hicksville, NY 11801, 516-874-0465
Patrizia's of Long island, 1040 S Broadway, Hicksville, NY 11801, 516-219-9617
Singas Famous Pizza, 464 S Broadway, Hicksville, NY 11801, 516-243-8113
Uncle Pete's Famous Atlantic Gyro, 27 Woodbury Rd, Hicksville, NY 11801, 516-336-4233
Dimaggio's Pizzeria, 3 W Village Grn, Hicksville, NY 11801, 516-336-4081
Pasta-Eria Pizzeria, 440 S Oyster Bay Rd, Hicksville, NY 11801, 516-261-6215
Raimo Pizzeria, 380 Woodbury Rd, Hicksville, NY 11801, 516-460-9871
Brennie's Pizzeria, 86 Vineyard Ave, Highland, NY 12528, 845-243-2566
Pizza Mia, 3650 US Highway 9 W , Highland, NY 12528, 845-253-5979
3 Guys, 56 Vineyard Ave, Highland, NY 12528, 845-218-7726
Pomodoro, 6 Haviland Rd, Highland, NY 12528, 845-218-7719
Vigneto Cafe, 80 Vineyard Ave, Highland, NY 12528, 845-237-0865
Amore Pizzeria, 265 Main St, Highland Falls, NY 10928, 845-446-7542
West Point Pizza & Restaurant, 282 Main St, Highland Falls, NY 10928, 845-262-4876
Ermirio's Restaurant, 287 Main St, Highland Falls, NY 10928, 919-584-9987
Brother’s Pizza, 233 Main St, Highland Falls, NY 10928, 845-262-4212
Tony's Pizza, 20 Main St, Highland Falls, NY 10928, 845-241-8873
Carlo's Pizza Oven, 480 Patchogue Holbrook Rd, Holbrook, NY 11741, 631-284-4602
Davinci's Pizza, 1191 Grundy Ave, Holbrook, NY 11741, 631-619-6335
Mamma Lombardi's Restaurant, 400 Furrows Rd, Holbrook, NY 11741, 631-402-9950
Aegean Pizza & Italian Rstrnt, 5801 Sunrise Hwy, Holbrook, NY 11741, 631-203-1924
Joe's Restaurant & Pizzeria, 346 Union Ave, Holbrook, NY 11741, 631-305-3674
Mama's Pizza Pasta & Seafood, 1057 Main St, Holbrook, NY 11741, 631-202-1696
Oven Lovin Heroes & Pizza, 971-C Main St, Holbrook, NY 11741, 631-202-1787
BYTE, 15 John St, Hoosick Falls, NY 12090, 518-468-3476
Biancas Pizza & Pasta, 21200 NY-22, Hoosick Falls, NY 12090, 518-430-5240
Pizza Bella, 17 Main St, Hoosick Falls, NY 12090, 518-203-2439
Simone's Pizza & Pasta, 562 NY-82, Hopewell Jct, NY 12533, 845-237-3208
Gian Bruno's Restaurant Pizzeria, 2593 NY-52, Hopewell Jct, NY 12533, 845-622-3592
Nick's Brick Oven Pizza, 410 NY-376 Ste 1, Hopewell Jct, NY 12533, 844-298-9506
Tiramisu Ristorante Pizzeria, 810 Route 82, Hopewell Jct, NY 12533, 844-385-6033
Little Jozef's Gourmet Pizza, 1117 NY-82, Hopewell Jct, NY 12533, 845-373-3067
Beekman Pizza Express & Deli, 2429 State Rte 55, Hopewell Junction, NY 12533, 845-592-8671
Giardino Italiano Pizza, 827 NY-82, Hopewell Junction, NY 12533, 845-600-1241
Villa Nigrelli, 109 Carpenter Rd, Hopewell Junction, NY 12533, 845-622-3572
Pizza Village, 799 Rt 82, Hopewell Junction, NY 12533, 845-286-1797
Fratello's Pizza, 2537 Ny-52, Hopewell Junction, NY 12533, 845-617-4231
Mama Angela's Pizzeria, 1965 Ny-52, Hopewell Junction, NY 12533, 845-253-5295
Mike and Joe's Wood Fire Pizza, 1075 Ny-82, Hopewell Junction, NY 12533, 845-322-8230
Italian Villa Restaurant, 196 Seneca St, Hornell, NY 14843, 607-225-2013
Giovanni's, 119 Seneca St, Hornell, NY 14843, 607-225-5600
Little Italy, 7498 Seneca Rd N, Hornell, NY 14843, 607-225-2157
Picnic Pizza, 2898 Westinghouse Rd #516, Horseheads, NY 14845, 607-224-5074
Louies Hanover Square, 102 S Main St, Horseheads, NY 14845, 607-228-8228
Giuseppe's, 1020 S Center St, Horseheads, NY 14845, 607-246-3611
Rico's Pizza & Subs, 2162 Grand Central Ave, Horseheads, NY 14845, 607-527-7520
Pizza Pick Up, 2121 Grand Central Ave, Horseheads, NY 14845, 607-224-8816
Picnic Pizza, 3300 Chambers Rd #5092, Horseheads, NY 14845, 607-246-2908
Divino Pizzeria Restaurant, 164-02 Cross Bay blvd, Howard Beach, NY 11414, 219-402-1048
Bruno, 158-22 Cross Bay blvd, Howard Beach, NY 11414, 218-376-7155
La Villa, 8207 153rd Ave, Howard Beach, NY 11414, 718-795-2520
New Park Pizza, 15671 Crossbay Blvd, Howard Beach, NY 11414, 718-568-5210
Prima Pasta & Cafe, 161-50 Cross Bay Blvd, Howard Beach, NY 11414, 712-340-9451
Gino's, 15846 Crossbay Blvd, Howard Beach, NY 11414, 718-593-4773
Charlie B's Main Street Cafe, 67 Main St, Hudson Falls, NY 12839, 518-741-2471
Brooklyn Pizza & Pasta, 54 River St, Hudson Falls, NY 12839, 518-401-0896
Mandy's Pizza & Subs, 1229 Burgoyne Ave, Hudson Falls, NY 12839, 518-401-0742
Empire Pizza, 182 Main St #1, Hudson Falls, NY 12839, 518-282-0680
La Nonna's Pizzeria, 75 E Main St, Huntington, NY 11743, 631-239-7747
Gino's Pizzeria, 318 Main St, Huntington, NY 11743, 631-417-3487
Junior's Pizza, 142 New York Ave, Huntington, NY 11743, 631-423-9006
Umbertos of Huntington, 737 W Jericho Turnpike, Huntington, NY 11743, 631-496-1801
Eatalia, 34 New St, Huntington, NY 11743, 631-509-7397
Gustoso Pizzeria, 340 W Jericho Tpke, Huntington, NY 11743, 631-201-4761
Mama Teresa's Pizzeria, 247 Broadway Greenlawn, Huntington, NY 11743, 631-994-1249
Village Restaurant Pizza & Pasta, 762 Park Ave, Huntington, NY 11743, 631-759-8476
Almarco Italian Grill, 13 Wall St, Huntington, NY 11743, 631-206-5578
Di Raimo Pizzeria, 76 Wall St, Huntington, NY 11743, 631-212-3181
Guiseppe's Pizza, 1727 New York Ave, Huntington Station, NY 11746, 631-546-7584
La Nonna's Pizzeria, 566 E Jericho Tpke, Huntington Station, NY 11746, 631-364-0437
Marco's, 76 E Pulaski Rd, Huntington Station, NY 11746, 631-438-8105
Joe's Pizzeria, 881 E Jericho Tpke, Huntington Station, NY 11746, 631-888-6050
Ramo's Pizza, 146 W Jericho Tpke, Huntington Station, NY 11746, 631-496-1574
Arancine's Pizza, 336 Depot Rd, Huntington Station, NY 11746, 631-212-1014
Francesco's Pizza Restaurant, 209 Walt Whitman Rd, Huntington Station, NY 11746, 631-498-8311
King Gino's Pizza & Pasta, 2353 New York Ave, Huntington Station, NY 11746, 631-201-5215
Jonny D's Pizzeria, 946 New York Ave, Huntington Station, NY 11746, 631-973-6165
Maria's Famous Pizza Chicken, 1044 New York Ave #C, Huntington Station, NY 11746, 631-546-0549
Antonella's Restaurant, 4246 Albany Post Rd, Hyde Park, NY 12538, 845-251-3127
Joe Cristiano's Pizza, 1225 NY-9G, Hyde Park, NY 12538, 845-253-4668
Hyde Park Pizza, 4290 Albany Post Rd #6, Hyde Park, NY 12538, 845-253-5287
T & F Pizza, 600 Violet Ave, Hyde Park, NY 12538, 845-384-1690
Ristorante Caterina De' Medici, 1946 Campus Dr, Hyde Park, NY 12538, 845-658-4289
Ronzoni Pizzeria Restaurant, 960 Violet Ave, Hyde Park, NY 12538, 845-261-0992
Sorrento Pizzeria, 86 Central Ave, Ilion, NY 13357, 315-860-0715
Primo Pizzeria, 262 Second Street, Ilion, NY 13357, 315-381-1302
Lombardo's Pizzeria Plus II, 154 E Main St, Ilion, NY 13357, 315-860-1631
Francos Pizza, 6 Central Plaza, Ilion, NY 13357, 315-381-1339
Flat Iron Pizza, 200 Otsego St, Ilion, NY 13357, 315-737-4393
South Shore Pizza, 245 Sheridan Blvd, Inwood, NY 11096, 516-543-3575
Max's Pizzeria Restaurant, 470 Sheridan Blvd, Inwood, NY 11096, 516-289-9893
Ciccio Boys Pizza, 567 Burnside Ave, Inwood, NY 11096, 516-284-4410
Julie's, 121 Doughty Blvd #A, Inwood, NY 11096, 516-260-5079
Northeast Pizza, 23 Cinema Dr, Ithaca, NY 14850, 607-275-5373
Scale House Brew Pub, 23 Cinema Dr, Ithaca, NY 14850, 607-275-5193
Bella Pizza, 301 S Meadow St, Ithaca, NY 14850, 607-882-6574
Sicilian Delight, 40 Catherwood Rd, Ithaca, NY 14850, 607-275-5144
Enzo Pizzeria & Italian Halal Grill, 319 College Avenue, Ithaca, NY 14850, 607-882-6581
Mama Teresa's Pizzeria, 1006 W Seneca St, Ithaca, NY 14850, 607-233-4372
Casablanca Pizzeria, 111 E State St, Ithaca, NY 14850, 607-261-1242
Rogan's Corner, 825 Danby Rd, Ithaca, NY 14850, 607-228-8702
Ithaca Ale House, 111 N Aurora St, Ithaca, NY 14850, 607-882-6578
Franco's Pizzeria, 508 W State St, Ithaca, NY 14850, 607-228-8016
Gianni's Pizza, 81-13 Northern Blvd, Jackson Heights, NY 11372, 646-480-7236
Classic Thomas Pizza, 83-08 37th Ave, Jackson Heights, NY 11372, 347-537-5468
Sac's Place of Jackson Heights, 86-14A 37th Ave, Jackson Heights, NY 11372, 717-312-5002
Due Fratelli, 76-23 37th Ave, Jackson Heights, NY 11372, 718-521-2956
Sofia's Pizza, 33-17 Junction Blvd, Jackson Heights, NY 11372, 712-227-5496
Pizza Sam, 89-06 Northern Blvd, Jackson Heights, NY 11372, 917-994-8779
Los Amigos, 82-02 Northern Blvd, Jackson Heights, NY 11372, 347-952-7410
Mama Rosa, 77-09 37th Ave, Jackson Heights, NY 11372, 347-434-6428
La Pequena Taste Of Italy Pizza, 37-72 90th St, Jackson Heights, NY 11372, 210-361-4384
Alex's Pizza & Deli, 7020 35Th Ave, Jackson Heights, NY 11372, 718-568-5138
Springfield & La Bari Pizzeria, 13613 Farmers Blvd, Jamaica, NY 11434, 516-543-3863
Alba's Pizzeria & Restaurant, 13765 Queens Blvd, Jamaica, NY 11435, 347-410-5982
DNL Pizza Plus, 146-21 Rockaway Blvd, Jamaica, NY 11436, 717-210-5162
Hi-Class Pizza, 246-11 Jericho Tpke, Jamaica, NY 11426, 347-801-2017
Mario's Pizza, 14929 Guy R Brewer Blvd, Jamaica, NY 11930, 718-656-3104
